country,country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
Kuwait,KWT,2.08,3.64216403030709,-1.6672059801285,83.1878048780488,5.58813678140227,2.133,3.98064961990313,6.75866711966617,80.5878048780488,5.11318110910574,2.97,3.42362947609188,1.67213054307859,78.7365853658537,-0.899478872255975,-0.052999999999999936,-0.3384855895960399,-8.42587309979467,2.5999999999999943,0.47495567229653,-0.44499999999999984,0.10926727710760471,-1.6696682616035436,2.2256097560975396,3.243807826829123
Lao PDR,LAO,1.186,31.2301341732646,3.74568140158232,68.964,1.39237667233214,1.209,22.9562225132056,2.70742652643155,68.715,1.40971670105791,2.08,3.75562036658877,2.52835100486102,67.807,1.44141640887407,-0.02300000000000013,8.273911660059,1.0382548751507703,0.24899999999999523,-0.017340028725769896,-0.44700000000000023,13.737256903337911,0.60866519836065,0.5784999999999986,-0.02451986827096494
Lebanon,LBN,10.985,221.341644023365,-0.760584470257314,77.817,0.503630953855672,11.105,171.205491336641,-0.621678970663112,78.003,0.460053063032864,12.715,154.756096023393,-7.00123862514116,73.65,0.275364167930295,-0.120000000000001,50.13615268672402,-0.13890549959420206,-0.18600000000000705,0.04357789082280805,-0.8649999999999995,33.292773999986004,3.120327077441923,2.083499999999982,0.11413339296268848
Liberia,LBR,2.905,10.0944535665552,4.68375688761311,62.163,2.20390696065654,2.956,7.59298486560313,4.80810517290655,61.934,2.14388170425267,3.844,7.81559385858648,4.98671283481617,61.166,2.11098738475006,-0.051000000000000156,2.5014687009520706,-0.12434828529343989,0.2289999999999992,0.06002525640387013,-0.4695000000000003,1.1394298539843597,-0.1514779736015302,0.49849999999999817,0.04645978795323981
Libya,LBY,18.713,2.37317531435169,10.2000497852517,69.339,1.12674309223491,19.238,4.51030149235703,-8.29981811198795,74.462,1.23450447871795,19.779,2.86833027751019,28.2996823429147,72.062,1.26619979488109,-0.5249999999999986,-2.13712617800534,18.49986789723965,-5.123000000000005,-0.10776138648304001,-0.5329999999999985,-0.2475774815792499,-9.049816278831505,-1.3615000000000048,-0.06972835132308981
St. Lucia,LCA,12.094,4.07060821926204,2.20988276526516,72.697,0.281512532799571,15.934,6.37814695133351,20.3884431828414,72.67,0.144975018605125,20.514,2.41070312174393,11.598783583643,69.119,0.152478363043745,-3.84,-2.30753873207147,-18.17856041757624,0.027000000000001023,0.136537514194446,-4.209999999999999,0.829952548759055,-4.694450409188918,1.7889999999999933,0.06451708487791297
Sri Lanka,LKA,4.528,16.5411742279832,-2.3298481898334,77.483,-0.651320770103285,4.528,49.7211021114327,-7.34919301306745,77.3,0.112772639779474,4.981,7.01478071238195,4.2074764951157,76.278,1.07544995696428,0.0,-33.1799278834495,5.01934482323405,0.18300000000000693,-0.764093409882759,-0.22650000000000045,4.76319675780063,-3.268662342474552,0.6025000000000069,-0.8633853635337824
Lesotho,LSO,16.348,6.34221743124953,1.82662476743647,57.375,1.10328678263994,16.623,8.27180389943028,2.38778020186284,56.812,1.08048016923391,18.214,6.04774591950676,2.26670961833291,54.209,1.14804266920884,-0.27500000000000213,-1.9295864681807497,-0.5611554344263701,0.5630000000000024,0.022806613406029852,-0.9330000000000005,0.14723575587138582,-0.22004242544822006,1.5830000000000006,-0.022377943284450072
Lithuania,LTU,6.841,9.11731962390475,0.342262716277261,77.290243902439,1.40084461829591,5.955,19.7050461518394,2.53752574011534,75.6439024390244,0.824789131191284,7.112,4.68354420903453,6.38001606179873,74.0365853658537,-0.070798680741267,0.8860000000000001,-10.58772652793465,-2.1952630238380793,1.6463414634146005,0.576055487104626,-0.13550000000000012,2.216887707435111,-3.0188766727607352,1.626829268292655,0.7358216495185885
Luxembourg,LUX,5.184,3.74140361983136,0.0994399943552651,83.309756097561,2.02002574712319,4.588,6.33600807777919,-1.0974168968152,82.9463414634147,2.01666790212729,5.571,2.52692009066166,6.9297342584233,82.5975609756098,1.51834936706612,0.5960000000000001,-2.59460445794783,1.1968568911704651,0.36341463414630937,0.0033578449958997503,-0.19350000000000026,0.6072417645848505,-3.415147132034019,0.3560975609756077,0.25083819002853514
