country_code,unemployment,inflation,gdp_growth,life_expectancy,population_growth,unemployment_lag1,inflation_lag1,gdp_growth_lag1,life_expectancy_lag1,population_growth_lag1,unemployment_lag2,inflation_lag2,gdp_growth_lag2,life_expectancy_lag2,population_growth_lag2,unemployment_change_1y,inflation_change_1y,gdp_growth_change_1y,life_expectancy_change_1y,population_growth_change_1y,unemployment_trend_3y,inflation_trend_3y,gdp_growth_trend_3y,life_expectancy_trend_3y,population_growth_trend_3y
FIN,7.889916666666667,2.0164820041417735,0.4927611032251962,81.46930894308944,0.29720572591582134,7.942583333333334,1.7803290308921476,0.770218437690366,81.37642276422766,0.2942362535923271,8.082166666666668,1.2853813224365176,0.9706556043069138,81.26666666666668,0.30969875433896993,-0.05266666666666664,0.23615297324962592,-0.2774573344651699,0.09288617886178346,0.002969472323494232,-0.09612499999999997,0.36555034085262794,-0.23894725054085883,0.10132113821137877,-0.006246514211574292
FJI,4.688416666666666,2.5171623027183903,2.7448131535568154,66.61675000000001,0.10120961172777426,4.612583333333333,2.875718721138359,2.183370192025766,66.58041666666666,0.08200232194494426,4.524416666666666,2.6765677195892223,0.9508323124226744,66.54958333333333,0.0865528582660811,0.07583333333333335,-0.3585564184199684,0.5614429615310493,0.03633333333333395,0.019207289782830022,0.08199999999999998,-0.07970270843541584,0.8969904205670706,0.033583333333333215,0.0073283767308465935
FRA,8.983166666666667,1.6464522205955392,1.103737504186649,82.44512195121952,0.37792048505405673,9.140916666666667,1.4158889444843392,1.1869343035960356,82.38536585365854,0.39521834068433453,9.305583333333333,1.1082852128603333,1.127231146806984,82.34654471544717,0.39443962749222444,-0.15775,0.2305632761112,-0.08319679940938679,0.05975609756097455,-0.01729785563027773,-0.16120833333333331,0.2690835038676029,-0.011746821310167502,0.04928861788617842,-0.008259571219083876
GAB,20.28741666666667,2.4818100511293273,2.626099730737453,66.79741666666666,2.7704986248505556,20.265249999999998,2.2846685291726985,3.0138344550660587,66.52783333333333,2.8828723167194283,20.271166666666666,2.05385986621094,3.351523856669783,66.278,2.983064288884,0.02216666666666679,0.19714152195662915,-0.38773472432860595,0.2695833333333333,-0.11237369186887243,0.008124999999999974,0.21397509245919377,-0.36271206296616504,0.25970833333333293,-0.10628283201672202
GBR,5.1935,2.708754984651616,1.708437547501678,81.03637804878049,0.6623545306774458,5.541,2.4639337662256633,1.756753188390434,81.01247154471544,0.6187317672743066,5.891416666666667,2.011484257324966,1.5159899153975946,80.96173983739837,0.6072777545460913,-0.3475,0.24482121842595253,-0.04831564088875595,0.02390650406504233,0.043622763403139274,-0.3489583333333333,0.348635363663325,0.0962238160520416,0.03731910569105836,0.027538388065677214
GEO,14.539833333333334,4.200863798641058,5.19588326517274,73.37875000000001,-0.0913606951389151,15.213416666666667,4.705461529269904,5.204394536818619,73.21116666666667,-0.16489636785047515,15.928583333333334,4.306462658815003,4.81171757969122,73.01041666666667,-0.2344268018147594,-0.6735833333333335,-0.5045977306288459,-0.008511271645878246,0.16758333333333295,0.07353567271156006,-0.694375,-0.052799430086972444,0.19208284274075968,0.18416666666666673,0.07153305333792216
GHA,3.623416666666667,15.79102660124183,4.860656328629488,63.80683333333334,2.15296722663691,3.73875,13.342817746348503,5.769575710519267,63.48341666666666,2.1943312731079057,3.94825,11.63260897389766,6.110814221435482,63.154333333333334,2.2370582644881516,-0.11533333333333333,2.4482088548933247,-0.9089193818897799,0.32341666666666724,-0.041364046470995786,-0.16241666666666668,2.0792088136720834,-0.625078946402997,0.3262500000000002,-0.04204551892562076
GIN,5.154916666666667,10.24383867851923,5.856711189184238,58.79816666666667,2.5117394358772818,5.145166666666666,11.369834589767393,5.862576613186964,58.467999999999996,2.512988021452854,5.1321666666666665,11.74960357788887,5.932655973825992,58.13458333333333,2.511053772195296,0.009750000000000023,-1.1259959112481643,-0.00586542400272753,0.3301666666666669,-0.0012485855755724749,0.011375000000000038,-0.7528824496848197,-0.03797239232087708,0.331791666666667,0.0003428318409929327
GMB,6.6410833333333334,7.783207492897078,4.02043281357788,63.6865,2.5620597850354225,6.9575,6.768346634446945,2.849829485425689,63.328250000000004,2.6139044875720434,7.258,6.229726711157238,2.8844409503908346,63.02058333333334,2.6628593377241985,-0.3164166666666666,1.014860858450133,1.1706033281521908,0.35824999999999996,-0.05184470253662082,-0.30845833333333333,0.7767403908699199,0.5679959315935229,0.33295833333333297,-0.05039977634438789
GNB,2.9774999999999996,2.2502311838110907,3.927204038563913,61.08016666666666,2.433176894836761,3.0141666666666667,2.078888931947042,4.115332925685828,60.544999999999995,2.465171544169009,3.0520833333333335,1.5061466037691236,4.121623807602419,59.994499999999995,2.493718747060766,-0.03666666666666665,0.17134225186404914,-0.18812888712191503,0.5351666666666665,-0.03199464933224829,-0.03729166666666666,0.3720422900209837,-0.0972098845192529,0.542833333333333,-0.030270926112002466
