country_code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GRC,12.719,17.973,24.731,27.686,26.708,24.981,23.514,21.413,19.179,17.045,15.899,14.656,12.426,11.023,10.02
GRD,,,,,,,,,,,,,,,
GRL,,,,,,,,,,,,,,,
GTM,3.497,3.169,2.765,3.017,2.717,2.506,2.583,2.462,2.283,2.193,2.965,2.174,3.051,2.344,2.613
GUM,8.2,13.3,12.2,11.5,7.6,6.9,5.4,5.418,5.45,5.405,6.241,6.0,5.383,5.262,5.252
GUY,11.632,11.811,12.029,12.296,12.637,13.009,13.263,13.466,13.627,13.172,15.308,14.576,11.907,11.917,11.874
HKG,4.329,3.422,3.285,3.4,3.296,3.314,3.392,3.124,2.805,2.917,5.808,5.174,4.318,2.949,2.988
HND,4.119,4.474,3.755,5.646,7.078,6.147,6.727,5.528,5.648,5.698,10.982,8.506,8.774,6.07,4.91
HRV,11.62,13.678,16.046,17.231,17.209,16.15,13.015,11.078,8.322,6.551,7.389,7.483,6.811,6.121,5.0
HTI,15.244,14.506,14.1,13.704,13.808,13.785,13.902,13.932,13.934,14.095,15.573,15.296,14.54,14.459,14.609
HUN,11.172,11.029,11.003,10.177,7.725,6.813,5.115,4.156,3.667,3.411,4.248,4.021,3.583,4.096,4.5
IDN,5.614,5.153,4.468,4.336,4.049,4.514,4.301,3.783,4.387,3.59,4.255,3.827,3.462,3.308,3.301
IMN,,,,,,,,,,,,,,,
IND,7.631,7.609,7.645,7.678,7.656,7.629,7.611,7.626,7.652,6.51,7.859,6.38,4.822,4.172,4.173
IRL,14.534,15.354,15.451,13.735,11.858,9.908,8.374,6.713,5.741,4.95,5.623,6.357,4.465,4.243,4.3
IRN,13.679,12.491,12.275,10.595,10.68,11.166,12.618,12.232,12.195,10.74,9.687,9.282,9.085,8.129,8.146
IRQ,8.267,8.193,7.965,9.222,10.59,10.865,10.82,13.02,13.458,14.096,15.766,16.173,15.41,15.239,15.293
ISL,7.564,7.028,6.0,5.376,4.897,3.979,2.978,2.742,2.704,3.507,5.478,6.029,3.789,3.518,3.6
ISR,8.48,7.139,6.762,6.137,5.789,5.176,4.723,4.14,3.917,3.731,4.169,4.812,3.695,3.371,3.595
ITA,8.363,8.359,10.655,12.149,12.683,11.896,11.688,11.211,10.538,9.884,9.192,9.497,8.069,7.627,6.5
JAM,7.63,8.034,8.695,9.698,9.046,8.825,8.634,7.399,5.47,4.987,6.501,5.188,4.083,3.022,3.151
JOR,12.5,12.9,12.2,12.6,11.9,13.075,15.275,18.12,18.257,16.801,19.213,19.837,18.2,16.62,16.693
JPN,5.102,4.55,4.358,4.038,3.589,3.385,3.132,2.822,2.467,2.351,2.809,2.808,2.614,2.6,2.5
KAZ,5.77,5.39,5.29,5.2,5.06,4.93,4.96,4.9,4.85,4.8,4.89,5.568,4.86,4.835,4.833
KEN,2.793,2.699,2.678,2.762,2.767,2.762,2.757,3.542,4.284,5.014,5.613,5.693,5.565,5.409,5.487
KGZ,3.503,3.644,3.786,3.881,4.02,4.138,4.294,4.425,4.559,5.45,5.945,5.149,4.767,3.498,3.491
KHM,0.771,0.577,0.505,0.438,0.692,0.393,0.716,0.141,0.129,0.119,0.172,0.396,0.245,0.256,0.254
KIR,,,,,,,,,,,,,,,
KNA,,,,,,,,,,,,,,,
KOR,3.324,2.992,2.812,3.067,3.082,3.546,3.65,3.653,3.824,3.746,3.931,3.639,2.857,2.675,2.784
KWT,1.82,2.051,2.227,2.465,2.9,2.2,2.16,2.23,2.202,2.213,3.489,2.97,2.133,2.08,2.151
LAO,0.708,0.96,1.208,1.469,1.733,2.006,2.634,3.268,2.897,2.531,2.349,2.08,1.209,1.186,1.174
LBN,6.768,7.352,7.952,8.477,8.84,9.312,9.794,10.258,10.755,11.301,13.252,12.715,11.105,10.985,
LBR,2.266,2.211,2.146,2.08,2.079,2.557,3.081,3.067,3.058,3.071,4.102,3.844,2.956,2.905,2.914
LBY,19.321,19.504,19.03,19.311,19.295,19.69,19.559,19.053,18.865,19.087,19.651,19.779,19.238,18.713,19.085
LCA,17.118,18.86,19.06,22.21,21.583,20.84,19.932,19.136,19.329,15.613,25.224,20.514,15.934,12.094,10.199
LIE,,,,,,,,,,,,,,,
LKA,4.784,4.118,3.88,4.186,4.157,4.519,4.242,4.046,4.318,4.67,5.364,4.981,4.528,4.528,4.239
LSO,16.068,16.115,15.761,15.926,16.066,16.223,16.138,16.379,16.614,16.876,18.385,18.214,16.623,16.348,16.34
LTU,17.814,15.39,13.365,11.77,10.698,9.12,7.862,7.073,6.147,6.255,8.487,7.112,5.955,6.841,6.851
LUX,4.423,5.122,5.03,6.045,6.044,6.796,6.669,5.523,5.589,5.592,6.766,5.571,4.588,5.184,6.4
LVA,19.482,16.206,15.047,11.867,10.846,9.873,9.643,8.715,7.412,6.312,8.098,7.513,6.815,6.465,6.9
MAC,2.84,2.56,1.97,1.82,1.67,1.81,1.939,1.981,1.803,1.73,2.542,2.221,2.446,2.206,2.262
MAF,,,,,,,,,,,,,,,
MAR,9.09,8.91,8.99,9.23,9.7,9.46,9.3,9.22,9.272,9.191,11.189,10.551,9.413,8.896,9.103
MCO,,,,,,,,,,,,,,,
